count,hate_speech_count,offensive_language_count,neither_count,class,tweet
3,0,3,0,1,"RT @USER: Sooner or later ya pussy gon tell Me the truth, let's hope it's not while I'm in it, cause Ima kill u"
3,0,3,0,1,@USER lmaoo &128514;&128149;I think I want this bitch YA me tiene cansada but thanks &128536;wait hold up .. Who u fighting &128563;
3,0,3,0,1,pussy is a joke you can either get it or not get it.
3,0,3,0,1,I would love to not be hit with the jig for once in my fucking life
3,3,0,0,0,"&8220;@USER: White kids favorite activities 1. Calling people ""niggers"" on Xbox 2.fucking their pet 3. Shooting up their school&8221;"
3,0,3,0,1,"""its britney bitch"" - the bible (leviticus 7:58) URL"
3,0,0,3,2,drunk trash trashed wasted @ The Draught Horse URL
3,0,1,2,2,Damn those shiner rock those bud light platinum and that ciroc
6,0,6,0,1,"RT @USER: I often try to help someone out if I can't decide whether I want to like their insta pic like ""ehh ill throw this bitch &8230;"
3,0,3,0,1,Why would you date an ugly girl who is also a huge bitch?
3,0,3,0,1,1wayhustle come get signed bitch we self paid.
3,0,3,0,1,I'd have to go off on a bitch
9,2,7,0,1,Hit me with plans mah nigs
3,0,3,0,1,"RT @USER: ""Fuck me or I'll make you feel bad about it. But if you fuck other guys, I'll call you a hoe. And if you fuck me, I'll thi&8230;"
3,1,2,0,1,You're ugly anyway hoe. Sit tf down somewhere
3,0,3,0,1,"RT @USER: ""The only thing that Collegefession has taught me is that in fact, these hoes ain't loyal"" - Stony Brook"
3,0,3,0,1,RT @USER: [PERSON] [PERSON] hoe!
3,2,1,0,0,@USER shut up you stupid bitch
6,2,4,0,1,heard ya got a man hoe hope he understand tho
3,0,0,3,2,brass monkey dat funky monkey URL
3,0,3,0,1,To many dumb hoes in mi[LOCATION]wa[LOCATION]e
3,0,3,0,1,"RT @USER: In conclusion, [PERSON] [PERSON][PERSON] is a giant bitch."
3,1,2,0,1,@USER lyin ass bitch @USER @USER @USER
3,0,1,2,2,"""@USER: URL a pissed lad past out. I would lick his dirty soles while he slept."
3,0,3,0,1,"BROS BEFORE HOS! .. and there I was with my bros, without any hos.."
3,0,3,0,1,"seriously these animal crackers have a slight fruit loops aftertaste. its really fucked up, it should not be this way but it is."
3,1,2,0,1,You should have to be over 6 foot and 220 lbs to buy a truck. We know most of you get em cause you're scrawny country pussies.
3,2,1,0,0,"Hey @USER you're a nigger racismisaliveandwellbro , learn from other blacks in the league on how to conduct yourself"
3,0,0,3,2,"RT @USER: Run Differentials:Mets -14, Yankees -32."
